probe	1,2-aadD	13,2-mupR	15,3-msrA	15,3-vatA	16,3-vatB	17,3-vga	17_mecA_hp	18,2-vanA	18,3-vgaA	19,2-vgb	19,3-vanB	2,1-dfrA	20,3-vanZ	25_mecA_hp	3,2-entA	3,3-entA	4,1-entB	5,2-entC	5,3-entC	8,2-etA	9,3-etB	aacA-aphD-10,4	agrB-I_11	agrB-II_11	agrB-III_11	agrB-IV_11	agrC-I_12	agrC-II_11	agrC-III_11	agrC-IV_11	agrD-I_11	agrD-I_12	agrD-I_13	agrD-II_11	agrD-III_11	aphA-3-18,3	blaZ_11	dfrA_12	edinA_11	edinB_11	edinC_11	entA-var1_11	entA-var2_11	entA-var3_11	entB_11	entD_11	entE_11	entG_11	entH_11	entI_11	entJ_11	entL_11	entM_11	entN_11	entO_11	entR_11	ermA-9,4	ermC-8,1	ermC-8,2	etD_11	far1_10	gapA_11	hl_11	hla_11	hlb_11	hlb_12	hld_11	hlgA_11	hl-III_11	hp_01_blaZ_M10	hp_arcA_611	hp_arcB_611	hp_arcC_611	hp_arcD_611	hp_aur_611	hp_aur_612	hp_aur_613	hp_bap_611	hp_bbp_611	hp_bbp_612	hp_bbp_613	hp_bbp_614	hp_bbp_616	hp_bbp_617	hp_blaI_611	hp_blaR_611	hp_blaR_612	hp_blaZ_611	hp_capH1_611	hp_capH5_611	hp_capH8_611	hp_capI8_612	hp_capJ1_611	hp_capJ5_611	hp_capJ5_612	hp_capJ8_611	hp_capK1_611	hp_capK5_611	hp_capK8_611	hp_capK8_612	hp_cat_611	hp_cat_612	hp_cat_613	hp_cat_615	hp_ccrA-1_611	hp_ccrA-2_611	hp_ccrA-3_611	hp_ccrA-4_612	hp_ccrAA_612	hp_ccrAA_613	hp_ccrB-1_612	hp_ccrB-1_613	hp_ccrB-2_611	hp_ccrB-3_611	hp_ccrB-4_611	hp_ccrC_611	hp_cfr_611	hp_chp_611	hp_chp_612	hp_clfA_611	hp_clfA_612	hp_clfA_613	hp_clfA_614	hp_clfB_611	hp_clfB_612	hp_clfB_613	hp_clfB_614	hp_cna_611	hp_ebh-3prime_611	hp_ebpS_611	hp_ebpS_612	hp_ebpS_613	hp_ebpS_614	hp_eno_611	hp_entCM14_611	hp_entCM14_612	hp_entK_611	hp_entK_612	hp_entN_611	hp_entQ_611	hp_entQ_612	hp_entU_611	hp_ermB_611	hp_ermB_612	hp_fexA_611	hp_fib_611	hp_fib_612	hp_fnbA_611	hp_fnbA_612	hp_fnbA_613	hp_fnbA_614	hp_fnbA_615	hp_fnbB_611	hp_fnbB_612	hp_fnbB_613	hp_fnbB_614	hp_fnbB_615	hp_fnbB_616	hp_fosB_611	hp_fosB_612	hp_hlb_611	hp_hlb_612	hp_hlb_613	hp_hlIII_611	hp_hsdS-CC15_611	hp_hsdS-CC25_611	hp_hsdS-CC25_612	hp_hsdS-CC51_611	hp_hsdS-COL-1_611	hp_hsdS-COL-2_611	hp_hsdS-etd_611	hp_hsdS-MRSA252-1_611	hp_hsdS-MRSA252-2_611	hp_hsdS-Mu50-2_611	hp_hsdS-MW2-1_611	hp_hsdS-RF122-1_611	hp_hsdS-RF122-2_611	hp_hysA_611	hp_hysA_612	hp_hysA_613	hp_hysA_614	hp_hysA_615	hp_hysA_616	hp_hysA_617	hp_hysA_618	hp_icaA_611	hp_icaC_611	hp_icaD_611	hp_isaB_611	hp_isaB_612	hp_isdA_611	hp_isdA_612	hp_isdA_614	hp_kdpA-SCC_611	hp_kdpB-SCC_611	hp_kdpC-SCC_612	hp_kdpD-SCC_611	hp_kdpE-SCC_611	hp_lmrP_611	hp_lmrP_612	hp_lmrP_613	hp_lmrP_614	hp_lukS-ST45_611	hp_map_611	hp_map_612	hp_map_613	hp_mecI_611	hp_mecR_611	hp_mecR_612	hp_mefA_611	hp_mefA_612	hp_merA_611	hp_merB_611	hp_mpbBM_611	hp_mpbBM_612	hp_mprF_611	hp_mprF_612	hp_nuc1_611	hp_plsSCC_611	hp_Q2FXC0_611	hp_Q2YUB3_611	hp_Q6GD50_611	hp_Q7A4X2_611	hp_Q9XB68_611	hp_qacA_611	hp_qacC_611	hp_qacC_612	hp_qacC_613	hp_qacC_614	hp_qacC_615	hp_saeS_611	hp_sak_611	hp_sarA_611	hp_sasG_611	hp_sasG_612	hp_sasG_613	hp_scn_611	hp_sdrC_611	hp_sdrC_612	hp_sdrC_613	hp_sdrC_614	hp_sdrC_615	hp_sdrC_616	hp_sdrD_611	hp_sdrD_612	hp_sdrD_613	hp_sdrD_614	hp_splE_611	hp_ssl01_611	hp_ssl03_611	hp_ssl05_611	hp_ssl05_612	hp_ssl06_611	hp_ssl08_611	hp_ssl09_611	hp_ssl10_611	hp_sspA_611	hp_sspB_611	hp_sspB_612	hp_sspP_611	hp_sspP_612	hp_tetEfflux_611	hp_tst_611	hp_ugpQ_611	hp_vraS_612	hp_vwb_611	hp_vwb_612	hp_vwb_613	hp_vwb_614	hp_vwb_615	hp_xylR_611	katA_11	linA-19,2	linA-19,3	lukD_11	lukE_11	lukF_10	lukF-PV_10	lukF-PV-P83_11	lukM_11	lukS_10	lukS-PV_20	lukX_11	lukY-var1_11	lukY-var2_11	mecA_11	mecA-1,4	probe_coa_consens_11	proteinA_12	s_aur_rrn_1_pm	sak_11	sat-17,2	sat-17,3	sbi-var1_11	sbi-var1_12	set12_11	set1-var1_11	set1-var2_11	set1-var4_11	set21_11	set2-var1_11	set2-var2_11	set2-var3_11	set2-var4_11	set3-var1_11	set3-var2_11	set4-var1_11	set4-var2_11	set5-var1_11	set5-var2_11	set6-var1_11	set6-var1_12	set6-var2_11	set6-var2_12	set6-var4_11	set7-var1_11	set7-var2_11	set8_11	set9-var1_11	set9-var1_12	setB-SA1178_11	setB-SA1179_11	setB-SA1180_11	setB-SAR1139_11	setB-SAR1140_11	setC-MW0345_11	set-SAR0424_11	set-SAR0425_11	set-SAR0425_12	splA_11	splB_11	tetK-12,3	tetK-12,4	tetM-11,3	tst-1-16,2	vanB_11
CP102956	0	0	0	0	0	0	0.09	-0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.72	0	0	0.79	0.77	0	0	0.84	0.02	0	0	0	0	0	0.02	0	0.02	0.81	0.02	0.01	0	0	0	0.04	-0.01	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77	0.83	0.74	0.81	0.81	0.81	0.8	0.76	0	0	0	0.01	0	0.76	0.01	0.75	0.01	0.08	0.03	0	0.77	0.63	0	0	0	0	0.02	0	0.84	0.01	0	0	0.78	0.8	0	0	0.79	0	0	0	0	0	0	0.01	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0.78	0.79	0.11	0.64	0.8	0.8	0	0	0.77	0.79	0	0.34	0.69	0.81	0.82	0	0	0	0	0	0	0.01	0	0	0	0	0.79	0	0	0	0.78	0.01	0.75	0.71	0	0	0	0	0.8	0.79	0	0.77	0.8	0.8	0.78	0.1	0	0.48	0.83	0	0	0.8	0	0	0	0.7	0	0	0.27	0	-0.01	0.82	0.55	-0.01	0.81	0.01	0.79	0.73	0.75	0.78	0.74	0.8	0.79	0.03	0	0	0	0	0	0.83	0	0.76	0	0.33	0.77	0.78	0	0	0.02	0.01	0	0.01	0	0	0	0	0.4	0.76	0.81	0	0	0.22	0	0	0.01	0	0	0	0	0	0	0.76	0	0.75	0.71	0.76	0.02	-0.01	0.81	0.01	0.79	0.8	0	0	0	0.64	0	0.79	0	0	0.84	0	0.76	0	0.8	0.72	0.76	0.75	0.72	0.76	0.65	0.79	0.79	0	0	0.83	0	0.82	0	0	0.83	0	0.81	0	0	0.82	0.81	0.81	0	0	0	0.83	0	0.74	0.76	0.01	0	0	0.78	0.83	0.82	0.02	0.07	0	0.82	0.81	0.8	0.2	0.03	0.81	0.01	0.01	0.2	0.01	0	0	0	0.27	0	0.79	0.02	0.01	0.1	0.81	0.02	0.81	0.73	0.01	0.75	0.72	0.79	0.77	0.77	0.81	0.02	0.06	0.83	0.01	0	0.09	0.8	0.82	0	0	0	0	0
CP102957	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.72	0	0	0.79	0.75	0	0	0.83	0.02	0	0	0	0	0	0.03	0	0.02	0.76	0.01	0.01	0	0	0	0.01	-0.01	0.03	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.76	0.81	0.66	0.79	0.81	0.79	0.76	0.71	0	0	0	0	0	0.75	0.01	0.74	0.01	0.03	0.04	0.47	0.76	0.01	0	0	0	0	0.01	0	0.82	0	0	0	0.76	0.8	0.01	0	0.79	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.81	0	0	0.76	0.82	0	0	0.05	0	0.79	0	0.63	0.7	0.79	0.8	-0.01	0.01	0	0	0	0.02	0	0.01	0	0	0	0.79	0	0	0	0	0.37	0.79	0	0	0	0	0	0.73	0.78	0.01	0.73	0.75	0.77	0.73	0.09	0.3	0.81	0.01	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0.79	0	0.78	0.01	0.73	0.78	0.72	0.69	0.77	0.67	0.77	0.03	0.79	0.01	0	0	0	0	0.83	0	0.78	0	0.37	0.67	0.8	0	0	0	0.01	0.01	0	0	0	0	-0.01	0.37	0.75	0.77	0	0	0.02	0	0	0.01	0.01	0	0	0	0	-0.01	0.77	0.02	0.78	0	0	0	0	0.81	0	0.78	0	0.81	0.01	0	0.63	0	0.76	0	0.81	0.82	0.1	0.81	0	0.8	0.74	0	0.77	0.74	0.77	0.74	0.78	0.77	0	0	0.83	0	0	0	0	0.83	0	0.78	0	0	0.8	0.78	0.8	0.02	0	0	0.82	0	0.69	0.73	0.02	0	0	0.77	0.81	0.8	0.02	0	0	0.79	0.79	0.79	0.17	0.03	0.78	0.02	0.02	0.13	0.02	0	0.78	0.01	0.83	0.02	0.77	0.01	0.01	0.11	0.03	0	0.81	0.72	0.01	0.75	0.72	0.78	0.76	0.75	0.79	0.01	0.09	0.82	0.01	0	0.05	0.78	0.8	0	0	0	0	0
CP102958	0	0.01	0	0	0	0	0.04	0.01	0	0	0	0.02	0	0	0	0	0.01	0	0	0.02	0.01	0	0.8	0	0	0.17	0.67	0	0.01	0	0.82	0.79	0.81	0	0	0	0	0	0.04	0.03	0	0	0	0	0	0.01	0	0.81	0.03	0.82	0.02	0	0.82	0.77	0.76	0.02	0	0	0	0	0	0.77	0.8	0.63	0.78	0.76	0.74	0.75	0.66	0	0.02	0.01	0	0	0.72	0.02	0.72	0.01	0.02	0.03	0	0.75	0.02	0.78	0	0	0	0	0	0	0.73	0.8	0	0	0.02	0.81	0.02	0	0.78	0.66	0.01	0	0.01	0.01	0	0	-0.01	0	0.02	0	0.01	0	0	0	0	0	0.02	0	0	0.78	0.75	0.09	0.66	0.8	0.02	0.01	0.07	0.74	0.77	0	0.62	0.69	0.77	0.8	0.01	0.03	0	0	0.79	0	0	0.8	0	0	0	0.77	0.01	0	0	0	0.4	0.76	0.73	0	0	0	0	0.67	0.76	0	0.73	0.76	0.76	0.75	0.02	0.66	0.77	0	0	0.79	0	0	0	0.01	0	0	0.02	0	0	0	0.78	0	0.71	0	0.78	0.77	0.71	0.71	0.75	0.63	0.73	0.02	0.76	0.01	0	0	0	0	0.82	0.01	0.76	0	0.3	0	0.79	0.01	0	0	0	0	0	0	0	0	-0.04	0.73	0.11	0.76	0	0.02	0.03	0	0.75	0.01	0	0	0	0	0	0	0.76	0	0.78	0	0	0.01	0	0.8	0	0.78	0.79	0	0	0.52	0	0	0.74	0.72	0.8	0.81	0.1	0.81	0	0.79	0.74	0	0.76	0.72	0.75	0.75	0.77	0.75	0	0	0.81	0	0.01	0	0	0.82	0	0.78	-0.01	0	0.79	0.76	0.79	0.01	0	0	0.81	0	0.65	0.66	0.01	0	0	0.75	0.79	0.8	0.02	0.01	0	0.79	0.76	0.8	0.18	0.03	0.78	0.07	0.03	0.12	0.02	0	0.77	0.01	0.8	0.04	0.74	0	0	0.07	0	0	0.79	0.68	0.02	0.73	0.69	0.77	0.74	0.71	0.76	0.02	0.06	0.81	0	0	0.05	0.73	0.74	0	0	0	0	0
CP102959	0	0	0	-0.01	0	0	0.1	0	0	0	0	0	0	0	-0.01	0	0	0	0	0.01	0.01	0	0.01	0.81	0.02	0	0	0.8	0	0	0	0	0	0.82	0.01	0	0	0	0.02	0.03	0	0	0	-0.01	0	0	0	0.02	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0.77	0.82	0.7	0.81	0.8	0.77	0.76	0.74	0	0	0	0	0	0.74	0	0.75	0.02	0.04	0.04	0	0.77	0.02	0.8	0.01	0	0	0	0	0	0.74	0.82	0.01	0	0	0.81	0.01	0.01	0.78	0.69	0	0	0	0.01	0	0	0.01	0	0	0	0.02	0	0	0	0	0	0	0	0	0.8	0.74	0.66	0	0.8	0.77	0.01	0	0	0.79	0.01	0.32	0.73	0.8	0.82	0.03	0.01	0.02	0	0	0	0	0	0	0	0	0.79	0	0	0.01	0	0	0.7	0	0	0	0	0	0.79	0.01	-0.01	0.76	0.78	0.8	0.76	0.11	0.01	0	0.01	0	0	0.8	0	0.01	-0.01	0	0	0	0	0	0	0.79	0.78	0.64	0.68	0.79	0.79	0.74	0.74	0.77	0.71	0.81	0.09	0.81	0	0	0	0.01	0	0.83	0	0.72	0	0.35	0.72	0.79	0.01	0	0	0	0	0	0	0	0	0	0.77	0.14	0.79	0	0.73	0.16	0.01	0.79	0.01	0	0	0.01	0	0	0	0.76	0.02	0.75	0	0	0	0	0.8	0	0.76	0.81	0	0	0	0	0.67	0.75	0.76	0	0.8	0.82	0.43	0	0.81	0.75	0	0.76	0.72	0.77	0.76	0.77	0.78	0	0	0.83	0	0	0	0	0.79	0	0.8	0	0	0.82	0.79	0.82	0.01	0	0	0.82	0	0.74	0.74	0.01	0	0	0.77	0.81	0.81	0.02	0	0	0.81	0.81	0.8	0.21	0	0.79	0.04	0.02	0.15	0.02	0	0.79	0.02	0.82	0.03	0.76	0.02	0.01	0.14	0.79	0.01	0.8	0.72	0.01	0.79	0.75	0.8	0.77	0.63	0.8	-0.01	0.08	0.84	0.02	0	0.02	0.79	0.78	0	0	0	0	0
CP102960	0	0	0	0	0	0	0.06	0.01	0	0	0.01	0	0	0	0	0	0.01	0	0.03	-0.01	0.01	0	0.82	0.02	0	0.24	0.73	0	0.01	0	0.82	0.81	0.81	0	0.01	0	0	0	0.02	0.01	0	0	0.01	0.02	0	0	0.02	0.01	0.01	0	0	0	0.01	0.05	0.01	0	0	0	0	0	0	0.79	0.82	0.74	0.8	0.79	0.76	0.76	0.72	0	-0.02	0	0	0	0.74	0.01	0.76	0.01	0.05	0.14	0	0.77	0.79	0.03	0	0	0	0	0	0	0.8	0.83	0	0	-0.03	0.83	0.01	0.01	0.78	0.68	0	-0.01	0	0.08	0	0	0.02	0	0	0	0.01	0	0	0.02	0	0	0	0	0	0.82	0	0	0.79	0.76	0.75	0.02	0	0.64	0.8	0	0.71	0.71	0.8	0.81	-0.01	0.03	0	0	0	0	0	0	0	0	0	0.8	0.03	0	0	0.01	0.38	0.74	0.74	0	0	0	0	0.72	0.79	0.01	0.74	0.76	0.78	0.78	0.06	0	0.17	0	0.81	0.01	0	0	0.01	0.01	0	0	0	0.68	0.02	0	0.78	0.55	0	0.81	0	0.82	0.74	0.74	0.76	0.7	0.81	0.09	0.79	0	0	0	0	0	0.84	0	0.78	0	0.34	0.65	0.8	0	0	0	0.01	0	0	0	0	0	0	0.42	0.75	0.72	0	0.06	0.21	0	0	0	0	0	0.01	0.02	0	-0.01	0.78	0.03	0.76	0	0.01	0	0	0.81	0	0.81	0	0	0.79	0	0.7	0	0.77	0.77	0	0.82	0.81	0.46	0.79	0.68	0.78	0	0.77	0.72	0.75	0.76	0.77	0.77	0.02	0	0.82			0	0	0.82	0	0.78	0	0	0.81	0.62	0.81	0	0	0	0.81	0.01	0.72	0.71	-0.01	0	0	0.77	0.81	0.82	0.01	0	0	0.8	0.78	0.27	-0.01	0.06	0.79	0.77	-0.01	0.26	0	0.81	0.78	0.02	0.82	0.03	0.8	0.02	0.03	0.01	0.79	0.79	0.01	0.77	0.01	0.74	0.74	0.81	0.74	0.75	0.8	0.01	0.14	0.83	-0.01	0	0.08	0.8	0.81	0	0	0	0	0.01
CP102961	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0.01	0	0	-0.01	0	0	0.02	0.81	-0.01	0	0	0.8	0	0	0.01	0	0	0.83	0.02	0	0.01	0	0.03	0.04	0.03	0	0.03	0.02	0	0	0.01	0	0.01	-0.01	0	0	0	-0.08	0	0	0	0	0	0	0	0.77	0.82	0.75	0.8	0.79	0.79	0.79	0.73	0	-0.01	0	0	0	0.75	0	0.76	0	0.04	0.08	0.57	0.77	0.01	0	0	0	0	0	0	0	0.79	0.83	0.01	0	0	0.82	0.01	0.02	0.77	0.71	0	0.03	0.03	0.02	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.8	0.75	0.16	0.68	0.79	0.01	0.76	0.72	0.76	0.79	0	0.72	0	0.81	0.81	-0.01	0	0	0	0	0	0	0	0	0	0	0.79	0	0.77	0	0.01	0	0.77	-0.01	0	-0.01	0.03	0	0.68	0.8	0.03	0.75	0.77	0.79	0.77	0.06	0.02	0.72	0.02	0	0	0	0	0	-0.01	-0.01	0	0	0.01	0.01	0	0.8	0	0.74	0	0.8	0.79	0.74	0.72	0.77	0.72	0.79	0.02	0.8	0.01	0	0	0	0	0.82	0	0.76	0	0.78	0.75	0.78	0	0	0	0.01	0	0	0	0	0	0	0.5	0.77	0.78	0	0.01	0.2	0	0	0.01	0	0	0	0	0	0	0.75	0	0.73	0.01	0.02	0	-0.02	0.81	0	0.79	0.8	0	0.01	0	0.01	0	0	0.79	0	0.82	0.14	0.8	0.76	0.78	0.74	0	0.74	0.71	0.74	0.76	0.77	0.78	0.01	0.01	0.82	0.8		0	0	0.82	0.01	0.79	0	0	0.77	0.78	0.48	0.03	0	0	0.26	0	0.72	0.73	0.01	0	0	0.76	0.8	0.81	0	0	0.02	0.81	0.81	0.8	0.26	0.01	0.81	0.73	-0.01	0.27	0.05	0	0.79	0.02	0.82	0.04	0.79	0.01	0.01	0.24	0.78	0.8	0.02	0.76	0.03	0.78	0.72	0.79	0.74	0.78	0.81	0.02	0.12	0.82	-0.01	0	0.01	0.8	0.83	0	0	0	0	0.03
CP102967	0.01	0	0	0	0	0.01	0.05	0.01	0	0.01	0	0	0	0	0	0	0	-0.01	0	0	0.01	0	0.72	0	0	0.79	0.77	0	0	0.82	0.02	0.01	0	0	0.01	0	0.02	0	0.03	0.03	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.04	0	0	0.01	-0.01	0	0	0.01	0.73	0.82	0.69	0.81	0.81	0.81	0.79	0.74	0	0	0	0	0	0.75	0.01	0.73	0	0.03	0.05	0.52	0.76	0	0	0	0	0	0	0	0.81	0.01	0	0	0.74	0.79	0.01	0	0.78	0	0	0	0	0	0	0	-0.01	-0.01	0	0.01	0	0.01	0	0	0	0	0	0.02	0	0	0.79	0	0	0.73	0.79	0.78	0.01	0.01	0	0.73	0	0.64	0.71	0.8	0.8	0	0.01	0	0	0	0	0	0.01	0	0	0	0.79	0.01	0	0.79	0.01	0	0.77	0.41	0.62	0	0	0	0.75	0.76	0.02	0.75	0.77	0.78	0.76	0.08	0	0.22	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0.74	0.77	0.78	0.67	0.67	0.76	0.78	0.71	0.72	0.76	0.69	0.79	0.02	0.8	0	0	0	0	0	0.82	0	0.76	0	0.3	0.01	0.76	0	0	0	0	0	0	0	0	0	0	0.38	0.75	0.78	0	0	0.02	-0.05	0.78	0	0.01	0	0.01	0	0	-0.01	0.75	0.01	0.76	0.73	0	0.77	0.01	0.79	0	0.78	0	0.77	0.06	0	0.66	0	0.74	0.74	0	0.82	0.12	0.81	0	0.79	0.72	0.75	0.73	0.7	0.72	0.71	0.73	0.75	0	0	0.81	0	0	0	0	0.81	0	0.75	0	0	0.77	0.58	0.8	0.01	0	0	0.81	0	0.76	0.74	0.01	0	0	0.75	0.79	0.79	0.02	0	0	0.8	0.76	0.8	0.19	0.02	0.78	0.01	0	0.14	0	0	0.8	0.01	0.74	0	0.79	0.02	0.8	0.06	0.01	0	0.81	0.74	0	0.74	0.71	0.78	0.75	0.74	0.79	0.01	0.07	0.82	0.02	0	0.06	0.76	0.78	0	-0.01	0	0	0.01
CP102968-969	0	0	0	0	0	0	0.05	0.01	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0.01	0	0.83	0	0	0.24	0.74	0.01	0	0	0.84	0.81	0.84	0	0	0	0	0	0.04	0	0.02	0	0.02	0	0	0	0.01	0.83	0.01	0.83	0.02	0	0.83	0.79	0.8	0	0	0	0	0	0	0.8	0.81	0.74	0.79	0.78	0.78	0.81	0.74	0	0	0	0	0	0.78	0.01	0.78	0.01	0.03	0.04	0.03	0.79	0.02	0.82	0.01	0	0	0.02	0	0.83	0.01	0	0	0.76	0.8	0.02	0	0.81	0.03	0	0	0	0.01	0.01	0.01	0	0.01	0	0	0	0.02	0	0	0.01	0	0	0.01	0.02	0	0.79	0.79	0.17	0.69	0.83	0.01	0.02	0.09	0.78	0.76	0	0.69	0.74	0.82	0.82	-0.02	0	0	0	0.81	0.01	0	0.83	0	0	0.01	0.79	0	0.77	0	0.01	0	0.8	0.79	0	0	0.02	0	0.82	0	-0.01	0.75	0.78	0.78	0.77	0.06	0.02	0.54	0.81	0	0	0.01	0	0	0	0.71	0	0	0	0	0	0.79	0	0.77	0.01	0.81	0.78	0.72	0.75	0.78	0.72	0.8	0.1	0.79	0	0	0	0	0	0.84	0	0.81	0	0.37	0.01	0.81	0	0	0	0.01	0	0	0	0	0	0	0.45	0.77	0.81	0	0	0.16	0	0.78	0.01	0	0	0	0	0	0	0.79	0.02	0.78	0.78	-0.01	0.8	0.01	0.82	0.01	0.8	0.8	0	0	0.62	0	0	0.8	0	0	0.82	0.83	0.49	0.78	0.79	0.78	0.01	0.78	0.75	0.76	0.76	0.76	0.78	0	0	0.82	0.81	0.02	0	0	0.85	0	0.81	0	0	0.82	0.8	0.81	0	0	0	0.83	0	0.71	0.77	0	0	0	0.79	0.83	0.83	0	0	-0.01	0.82	0.8	0.75	0.27	0.07	0.81	0.77	0.01	0.2	0.03	0	0.79	0.03	0.83	0.03	0.79	0.02	0.01	0.02	0.81	0.02	0.35	0.76	0	0.71	0.76	0.81	0.77	0.78	0.8	-0.01	0.09	0.83	0.02	0	0.05	0.76	0.79	0	0.01	0	0	0
CP102970	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0.82	0	0	0.21	0.74	0	0	0	0.83	0.8	0.82	0	0	0	0	0	0.02	0.8	0.01	0.02	0	0	0	0.03	0.01	0.01	0	0	0	0	0.01	0.01	0	0	0	0.01	0	0	0	0.78	0.81	0.7	0.78	0.79	0.8	0.72	0.74	-0.01	0	0	0	0	0.74	0.02	0.75	0	0.03	0.05	0	0.76	0.79	0.04	0	0	0	0	0	0	0.78	0.83	0.02	0	0.03	0.82	0	0.01	0.78	0.74	0	0	0	0.03	0	0	0	0	0.02	0	0.01	0	0.05	0	0	0	0	0	0	0.79	0.76	0.11	0.64	0.8	0.02	0	0.07	0.77	0.79	0.01	0.69	0.73	0.81	0.81	0	0.03	0.02	0	0	0	0	0	0	0	0	0.79	0.01	0	0	0.02	0	0.8	0.02	0	0.04	0.01	0	0.74	0.01	0	0.75	0.77	0.79	0.75	0.09	0	0.49	0.82	0.01	0	0.81	0.01	0	0.04	0.7	0	0	0.01	0	0	0.77	0.01	0.73	0.01	0.79	0.77	0.73	0.74	0.77	0.69	0.8	0.02	0.79	0	0	0	0	0	0.83	0.01	0.76	0	0.3	0	0.79	0	0	0.01	0.01	0	0	0	0	0	0	0.77	0.15	0.79	0	0	0.05	0	0	0	0.01	0.01	0.01	0	0	0	0.77	0.01	0.76	0.74	0	0.79	0.02	0.81	0.01	0.8	0	0	0.78	0	0.66	0	0.78	0	0.81	0.78	0.82	0.42	0	0.79	0.76	0	0.75	0.72	0.74	0.75	0.75	0.77	0	0	0.81	0.79	0.04	0	0	0.83	0	0.79	0	0	0.79	0.73	0.78	0.01	0	0	0.81	0	0.69	0.78	0.03	0	0	0.78	0.82	0.82	0.03	0	0	0.8	0.78	0.8	0.23	0.05	0.8	0.06	0.03	0.19	0.05	0	0.79	0.03	0.83	0.03	0.78	0.02	0.01	0.1	0.04	0	0.8	0.72	0.01	0.76	0.71	0.79	0.74	0.76	0.81	0.02	0.08	0.83	0.03	0	0	0.78	0.81	0	0	0	0	0.01
CP102971	0	0	0	0	0	0	0.05	0	0	0	0	0.01	0	0	0	0	0	0.02	0	0.01	0	0	0.74	0	0	0.8	0.74	0	0	0.82	0.02	0	0	0	0	0	0.02	0	0.03	0.03	0	0.02	0	-0.01	0.01	0.01	0.01	0.81	0.03	0.82	0.03	0	0.82	0.75	0.74	0.03	0	0	0	0	0	0.78	0.81	0.71	0.8	0.8	0.77	0.77	0.71	0	0	0	0.02	0	0.78	0.02	0.77	0.02	0.04	0.05	0	0.78	0.02	0.8	0.03	0	0	0.03	0	0.83	0.02	0	0	0.76	0.81	0.01	0	0.8	0	0	0	0	-0.01	0	0	0	0.01	0.01	0.01	0	0.02	0	0	0.02	0	0	0.03	0	0	0.81	0.78	0.19	0.7	0.8	0.01	0.02	0.09	0	0.81	0.01	0.68	0.7	0.77	0.8	0.02	0.02	0.01	0	0.81	0	0	0.83	0	0	0.01	0.79	0	0.78	0	0.01	0	0.79	0.78	0.01	0	0	0	0.78	0.77	0.03	0.74	0.76	0.77	0.76	0.06	0.01	0.01	0.01	0	0	0	0	0	0.01	0.01	0	0.01	0	0	0	0.8	0.01	0.78	0.01	0.77	0.78	0.74	0.75	0.78	0.71	0.79	0.02	0.79	0.01	0	0	0	0	0.84	0.01	0.79	0	0.38	0.75	0.76	0	0	0	0	0	0	0.01	0	0	0	0.42	0.76	0.78	0	0	0.03	0	0.78	0.02	0	-0.01	0	0	0	-0.01	0.77	0.01	0.76	0.73	-0.01	0.79	0.01	0.8	0.02	0.8	0	0.82	0.02	0.69	0	0	0.79	0	0.82	0.82	0.19	0.82	0	0.82	0.76	0	0.76	0.72	0.73	0.74	0.74	0.75	0	0	0.82	0	0	0	0	0.83	0	0.78	0	0	0.83	0.79	0.81	0.01	0	0	0.81	0	0.76	0.72	0.03	0	0	0.77	0.81	0.82	0.01	0.01	0	0.81	0.79	0.8	0.28	0.05	0.8	0.19	0.01	0.28	0.01	0	0.8	0.01	0.83	0.04	0.79	0.02	0.02	0.13	0.05	0	0.81	0.73	0.02	0.77	0.73	0.78	0.76	0.74	0.78	0.03	0.16	0.83	0.03	0	0.09	0.76	0.76	0.01	0	0	0	0
